workoutActivityType,creation_datetime,start_datetime,end_datetime,duration,durationUnit
HKWorkoutActivityTypeRunning,2019-08-22 15:15:17-06:00,2019-08-22 14:54:59-06:00,2019-08-22 15:15:09-06:00,17.42148853341739,min
HKWorkoutActivityTypeRunning,2019-08-23 16:41:45-06:00,2019-08-23 16:16:08-06:00,2019-08-23 16:41:33-06:00,24.96572950482368,min
HKWorkoutActivityTypeRunning,2019-08-23 17:25:29-06:00,2019-08-23 17:07:28-06:00,2019-08-23 17:25:19-06:00,17.75782082279523,min
HKWorkoutActivityTypeRunning,2019-08-24 13:28:09-06:00,2019-08-24 13:17:30-06:00,2019-08-24 13:28:03-06:00,7.473506110906601,min
HKWorkoutActivityTypeRunning,2019-08-26 14:44:00-06:00,2019-08-26 14:05:38-06:00,2019-08-26 14:43:44-06:00,29.69008114735285,min
HKWorkoutActivityTypeElliptical,2019-08-27 09:24:13-06:00,2019-08-27 09:18:16-06:00,2019-08-27 09:24:11-06:00,5.915936382611592,min
HKWorkoutActivityTypeRunning,2019-08-27 14:17:25-06:00,2019-08-27 13:55:22-06:00,2019-08-27 14:17:18-06:00,21.10790059566498,min
HKWorkoutActivityTypeRunning,2019-08-27 15:28:46-06:00,2019-08-27 15:15:53-06:00,2019-08-27 15:28:37-06:00,11.94204427798589,min
HKWorkoutActivityTypeRunning,2019-08-28 14:34:22-06:00,2019-08-28 14:03:09-06:00,2019-08-28 14:34:11-06:00,30.16128242611885,min
HKWorkoutActivityTypeRunning,2019-08-30 05:23:23-06:00,2019-08-30 05:02:29-06:00,2019-08-30 05:23:12-06:00,20.07366833885511,min
HKWorkoutActivityTypeRunning,2019-08-31 07:34:54-06:00,2019-08-31 07:19:35-06:00,2019-08-31 07:34:47-06:00,15.19057218233744,min
HKWorkoutActivityTypeRunning,2019-08-31 07:52:33-06:00,2019-08-31 07:46:19-06:00,2019-08-31 07:52:28-06:00,6.152524117628733,min
HKWorkoutActivityTypeRunning,2019-08-31 07:58:55-06:00,2019-08-31 07:53:48-06:00,2019-08-31 07:58:47-06:00,4.553566173712412,min
HKWorkoutActivityTypeRunning,2019-08-31 08:02:20-06:00,2019-08-31 07:58:47-06:00,2019-08-31 08:02:15-06:00,2.077609074115753,min
HKWorkoutActivityTypeRunning,2019-08-31 08:08:30-06:00,2019-08-31 08:02:16-06:00,2019-08-31 08:08:27-06:00,4.544566591580709,min
HKWorkoutActivityTypeRunning,2019-08-31 08:12:17-06:00,2019-08-31 08:08:55-06:00,2019-08-31 08:12:14-06:00,1.998647421598434,min
HKWorkoutActivityTypeRunning,2019-08-31 08:18:23-06:00,2019-08-31 08:12:27-06:00,2019-08-31 08:18:20-06:00,4.206269454956055,min
HKWorkoutActivityTypeRunning,2019-09-02 08:13:21-06:00,2019-09-02 07:33:05-06:00,2019-09-02 08:13:09-06:00,38.22522046764691,min
HKWorkoutActivityTypeRunning,2019-09-03 15:19:45-06:00,2019-09-03 15:07:31-06:00,2019-09-03 15:19:26-06:00,11.84036221901576,min
HKWorkoutActivityTypeRunning,2019-09-03 16:36:46-06:00,2019-09-03 15:59:09-06:00,2019-09-03 16:36:40-06:00,14.36864276528359,min
HKWorkoutActivityTypeRunning,2019-09-04 14:59:52-06:00,2019-09-04 14:18:11-06:00,2019-09-04 14:59:39-06:00,40.57475099563599,min
HKWorkoutActivityTypeRunning,2019-09-05 14:20:34-06:00,2019-09-05 13:59:42-06:00,2019-09-05 14:20:26-06:00,19.72023432850838,min
HKWorkoutActivityTypeRunning,2019-09-05 14:44:02-06:00,2019-09-05 14:28:52-06:00,2019-09-05 14:43:57-06:00,14.44989335934321,min
HKWorkoutActivityTypeRunning,2019-09-05 15:15:53-06:00,2019-09-05 14:53:45-06:00,2019-09-05 15:15:45-06:00,21.86366033156713,min
HKWorkoutActivityTypeRunning,2019-09-06 13:18:55-06:00,2019-09-06 13:15:16-06:00,2019-09-06 13:18:48-06:00,3.416917049884796,min
HKWorkoutActivityTypeRunning,2019-09-06 13:49:01-06:00,2019-09-06 13:18:48-06:00,2019-09-06 13:48:46-06:00,28.79013946652412,min
HKWorkoutActivityTypeRunning,2019-09-07 08:29:10-06:00,2019-09-07 08:06:25-06:00,2019-09-07 08:29:04-06:00,11.10456289847692,min
HKWorkoutActivityTypeRunning,2019-09-07 09:26:43-06:00,2019-09-07 08:55:01-06:00,2019-09-07 09:26:35-06:00,23.84297921260198,min
HKWorkoutActivityTypeRunning,2019-09-09 14:53:11-06:00,2019-09-09 14:05:16-06:00,2019-09-09 14:52:58-06:00,46.65819867650668,min
HKWorkoutActivityTypeRunning,2019-09-10 10:31:28-06:00,2019-09-10 09:19:48-06:00,2019-09-10 10:31:17-06:00,25.48616229097048,min
HKWorkoutActivityTypeRunning,2019-09-10 14:15:10-06:00,2019-09-10 14:00:42-06:00,2019-09-10 14:15:03-06:00,14.21344592769941,min
HKWorkoutActivityTypeRunning,2019-09-10 14:37:46-06:00,2019-09-10 14:30:45-06:00,2019-09-10 14:37:40-06:00,3.984128892421722,min
HKWorkoutActivityTypeRunning,2019-09-10 14:41:42-06:00,2019-09-10 14:37:52-06:00,2019-09-10 14:41:38-06:00,3.707320948441823,min
HKWorkoutActivityTypeRunning,2019-09-10 14:50:38-06:00,2019-09-10 14:44:29-06:00,2019-09-10 14:50:35-06:00,3.764899599552154,min
HKWorkoutActivityTypeRunning,2019-09-10 14:57:46-06:00,2019-09-10 14:51:36-06:00,2019-09-10 14:57:41-06:00,3.776598167419434,min
HKWorkoutActivityTypeRunning,2019-09-10 15:59:31-06:00,2019-09-10 14:58:02-06:00,2019-09-10 15:59:23-06:00,3.825327644745509,min
HKWorkoutActivityTypeRunning,2019-09-11 14:54:53-06:00,2019-09-11 14:13:33-06:00,2019-09-11 14:54:40-06:00,31.14880996346474,min
HKWorkoutActivityTypeRunning,2019-09-12 14:18:03-06:00,2019-09-12 13:58:39-06:00,2019-09-12 14:17:56-06:00,17.56890118122101,min
HKWorkoutActivityTypeRunning,2019-09-12 14:40:07-06:00,2019-09-12 14:31:13-06:00,2019-09-12 14:40:03-06:00,7.630275497833888,min
HKWorkoutActivityTypeRunning,2019-09-12 15:46:20-06:00,2019-09-12 15:30:02-06:00,2019-09-12 15:46:12-06:00,15.78216734925906,min
HKWorkoutActivityTypeRunning,2019-09-13 14:49:40-06:00,2019-09-13 14:09:19-06:00,2019-09-13 14:49:28-06:00,38.31178446412086,min
HKWorkoutActivityTypeRunning,2019-09-14 05:55:52-06:00,2019-09-14 05:48:42-06:00,2019-09-14 05:55:47-06:00,6.867311008771261,min
HKWorkoutActivityTypeRunning,2019-09-14 12:41:26-06:00,2019-09-14 09:24:10-06:00,2019-09-14 12:41:08-06:00,14.34888216853142,min
HKWorkoutActivityTypeRunning,2019-09-16 15:03:08-06:00,2019-09-16 14:03:12-06:00,2019-09-16 15:02:54-06:00,47.53620558778445,min
HKWorkoutActivityTypeRunning,2019-09-17 14:25:38-06:00,2019-09-17 14:03:25-06:00,2019-09-17 14:25:20-06:00,7.951194443305334,min
HKWorkoutActivityTypeRunning,2019-09-17 14:35:09-06:00,2019-09-17 14:25:20-06:00,2019-09-17 14:34:59-06:00,6.390185117721558,min
HKWorkoutActivityTypeRunning,2019-09-17 14:46:35-06:00,2019-09-17 14:34:59-06:00,2019-09-17 14:46:19-06:00,6.793140463034312,min
HKWorkoutActivityTypeRunning,2019-09-17 14:51:18-06:00,2019-09-17 14:46:19-06:00,2019-09-17 14:51:11-06:00,4.440428350369135,min
HKWorkoutActivityTypeRunning,2019-09-17 15:03:28-06:00,2019-09-17 14:51:11-06:00,2019-09-17 15:03:19-06:00,4.495749906698863,min
HKWorkoutActivityTypeRunning,2019-09-17 15:18:26-06:00,2019-09-17 15:03:19-06:00,2019-09-17 15:18:07-06:00,4.191124729315439,min
HKWorkoutActivityTypeRunning,2019-09-17 15:58:37-06:00,2019-09-17 15:18:07-06:00,2019-09-17 15:58:31-06:00,9.000370033582051,min
HKWorkoutActivityTypeRunning,2019-09-18 14:36:45-06:00,2019-09-18 14:03:14-06:00,2019-09-18 14:36:37-06:00,29.15555043419202,min
HKWorkoutActivityTypeRunning,2019-09-19 14:15:23-06:00,2019-09-19 13:41:41-06:00,2019-09-19 14:15:06-06:00,19.55699590841929,min
